,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
CEP120,0.189023573,0.475507461,0.278037487,1.069207629,1.08792542,0.027164188
ASCC3,1.08170515,0.010495916,1.10561902,0.382936757,0.012764612,0.356754199
C7orf31,0.058555043,0.367315715,0.272520389,1.179333645,1.02425559,0.118837773
BCL2L15,0.121172784,0.011466312,1.049733973,0.489842133,1.077759172,0.38522824
EXTL2,1.146973569,0.009785018,0.222744652,0.008588667,0.28298997,1.105101942
PAPSS1,0.129636424,0.170295064,0.378706804,0.065369892,1.118700634,1.105295201
HIST1H4J,0.139571378,0.06448803,1.05383127,0.575795251,1.000423191,0.447303826
TRIM60,0.060044496,0.0560968,1.263064155,0.02626801,1.027210579,0.093444281
ZNF2,0.204610839,0.145521966,1.080039592,0.44217512,1.022234809,0.443459204
SAFB,0.446895441,0.257977687,0.121049904,0.565913003,1.025155795,1.007245568
NSD1,0.041057076,0.151817831,1.129178202,0.156926407,0.270269973,1.126595386
TAS2R42,0.130416805,0.196288201,1.153608111,0.293625649,1.081594323,0.155740458
MSL3,0.412098294,0.226688975,0.245124459,0.042916749,1.083247459,1.100045851
DNAJC12,0.164736521,0.48611043,1.117976524,0.081409149,0.343766268,1.014175029
PPIP5K2,0.09121128,1.158350924,1.087867682,0.301346415,0.178592441,0.102025933
RBM12,0.041990487,0.251084884,0.094523981,1.002041896,1.253070435,0.136570808
PABPC3,0.108934699,0.278615132,1.073983294,0.548814242,1.050501023,0.137782144
SLK,0.002787693,0.494505272,1.100514828,0.025326331,0.393322877,1.027446464
FZR1,0.360442611,0.01291155,0.188579785,1.104029907,1.119601294,0.169202997
POLG,1.118824456,0.248616886,0.148388106,1.043480898,0.424538237,0.2489659
CCNG1,0.059745003,0.181202317,0.547494467,1.011061279,1.080301616,0.375787492
OR10T2,0.301980723,0.254437555,1.079228421,0.302738922,1.055783734,0.373726782
PRKRIP1,1.059707741,0.073462155,1.179568864,0.254450746,0.230930037,0.169802568
SETSIP,0.055431694,1.057885727,0.136289706,1.211718778,0.187640254,0.149751912
NUP62CL,0.000620447,0.216944697,1.019550278,0.544599738,1.068340384,0.377065591
LENG1,0.064556118,0.56623541,0.534468322,0.086310477,1.017113234,1.007100501
SCN8A,0.155276116,0.404535832,1.10481177,0.090288969,1.10649687,0.160655853
RPL26L1,0.00901405,0.172171825,1.138506828,0.059501834,1.151230494,0.108960367
PHKB,0.196488513,0.035453776,0.207348987,0.340468237,1.15914273,1.060319702
RAB1A,0.367492491,0.119399527,1.041073728,0.487746471,0.051991967,1.092211242
PIGX,0.117525831,0.249855071,1.01473203,0.009278031,1.244681626,0.106898384
SEMA3E,0.531535644,0.187921452,1.00079829,0.016173581,1.13929523,0.221290829
PIKFYVE,0.122609641,0.362772241,0.008055579,1.03580074,1.145346922,0.367780121
TP53INP1,0.061923239,0.218299408,1.025529988,0.177225414,1.231126132,0.128005427
CCDC110,0.266906802,1.122956195,1.135946236,0.199553469,0.018105248,0.06223813
LOC101060389,0.252827729,1.006476261,0.173911589,0.676787381,0.233270225,1.023254096
PSMB6,0.054879749,0.429412795,0.242180119,1.155313319,0.018913739,1.041874141
ARHGAP4,0.202181064,0.057761018,1.026051224,0.493589731,1.145902043,0.113796829
REN,0.427515258,0.271745923,0.276513764,0.393344178,1.058358584,1.028955358
CEP152,0.249601222,0.078428432,1.09117384,0.35237848,1.122969543,0.149409978
CWF19L1,0.272547928,0.293940036,1.051942718,0.03922523,0.177575166,1.168900555
ZADH2,0.28563503,0.318033679,1.183257806,0.249358554,0.043533754,1.009831651
KRAS,1.027353683,0.159726004,0.179830283,0.267487453,1.087552867,0.546844562
C10orf90,1.198028861,0.203521681,0.341111393,0.115923047,0.212136356,1.007559177
TMEM183A,0.084168055,1.052248105,0.125809365,0.361384129,1.185581375,0.018073449
CEACAM21,0.060359831,0.18428321,0.373551475,1.087539246,0.214286174,1.122881194
USP17L4,0.365577681,0.245056942,1.084600062,0.427823171,1.025626425,0.24832881
DYNLRB2,0.129983256,0.352769594,0.505549695,0.177933335,1.004133431,1.108963445
OR4F3,1.030012801,0.135244241,1.200849492,0.29372064,0.214226836,0.115086256
ATR,1.106564634,0.306507773,1.080085071,0.082222864,0.142431691,0.393196154
ST14,0.181370394,0.136838235,0.124574259,1.033311941,0.03475054,1.237168889
CDK5RAP2,0.249118007,0.231794371,0.24089749,1.030743719,1.194502489,0.059815078
OIP5,0.16594417,0.239523995,0.132533696,1.246318995,1.004930876,0.031546358
PAG1,0.081633698,0.42845956,1.162289496,0.170135378,1.026977244,0.204645628
RIC8A,0.335090585,0.152627132,1.126865019,0.102493848,1.11455881,0.09227581
MICA,0.030440111,0.092694812,1.225288397,0.168479101,0.058893032,1.06017097
NNT,0.146611664,0.155931442,1.130451395,0.101735364,1.147272547,0.127876246
ZIM2,0.173853012,0.011636755,1.236937591,0.099079284,1.038326454,0.135474171
ACSM2B,0.136768174,0.338822536,1.075457525,0.376550328,0.148757502,1.101195989
KLHL13,0.245059584,0.422458947,1.072633428,0.003201121,1.122747265,0.130486655
KIF5B,0.219121122,0.396116996,1.164401472,1.042073966,0.123512847,0.068844488
CYB561D2,1.106868952,0.045633683,1.15285147,0.260696569,0.19538769,0.064960045
NR1H4,1.042598849,1.143990826,0.28016358,0.158482842,0.378416633,0.155343917
OR4D10,0.183759332,0.327452104,0.300439515,0.183275325,1.109044532,1.082515946
GRID1,1.036612219,0.176818033,0.187673422,0.423076025,1.099533553,0.371010089
CYP3A7,1.039983403,0.323790997,0.181181732,1.175302072,0.021752941,0.256174993
ZNF226,0.275983927,1.04119955,1.040174073,0.531505035,0.106802738,0.36129836
ARMCX1,0.325120083,0.052523184,1.131642263,0.182993023,0.071088158,1.113126556
CATSPERG,0.10018776,0.221472085,1.047170349,0.087235959,1.198850993,0.257215163
ENOPH1,0.166688691,0.424112283,1.104437187,0.180986716,1.095036304,0.085837757
MEA1,0.147233437,0.221375101,1.207308246,0.217915726,0.122055321,1.037306166
SOS1,0.026200595,1.133947403,1.009294506,0.435346937,0.388288073,0.145511166
GPR137,0.153487969,0.023140591,1.239024823,0.28249285,1.005648316,0.127512213
CRYZL1,0.231303003,0.014691489,1.003518363,0.467071545,1.175402324,0.07857607
SLC22A7,0.182354094,1.233750811,0.234344595,0.131779535,1.00893891,0.145022849
RGPD4,0.058693697,0.530662751,1.094088264,0.363253398,0.147358171,1.015343375
CREB1,0.103141901,0.206426805,0.330820319,0.01444387,1.007245431,1.220336974
ANXA2R,0.428209014,0.485835647,1.021974041,0.14016909,0.23735451,1.061532833
CNPY3,0.260823685,0.276152707,1.172958295,0.176808066,1.002571912,0.331865428
NEUROG3,0.02187463,0.159703058,1.01506653,0.426275816,1.126403361,0.399784237
C2orf83,0.020683116,0.083686295,1.049367221,0.384982162,1.12868964,0.368662918
TSHB,1.077829849,1.022620546,0.415264324,0.268029301,0.408030413,0.220053901
HTN1,0.263533268,1.08036458,0.203158617,0.140466048,1.140562918,0.261039036
MYH13,0.000989,0.221014384,0.248983766,0.200128957,1.002237541,1.22934687
CYP3A5,0.19112353,0.012531233,1.020036324,0.381089201,1.15378414,0.336244715
FBXO3,0.079301998,0.010592133,1.136771141,0.312053216,1.096174932,0.262755301
ARL17A,0.119212523,0.272096628,1.06196399,0.480233179,1.103532747,0.047355264
ACBD6,0.161467629,0.273228709,0.030013157,1.159343711,0.027044857,1.104640625
ZNF18,0.431242586,0.140833196,0.47400091,1.025882763,1.06497127,0.222680031
LPIN1,0.230430504,0.025636277,0.432727741,0.230672956,1.115810223,1.061798223
FAM160B1,0.047099023,0.163313894,1.17930113,0.198219132,1.096713084,0.07039426
PPARGC1B,0.596447172,1.04147219,0.25383488,0.270135966,1.040919958,0.073028552
RPP40,0.103395311,1.023183802,0.16124487,0.445491815,1.094524251,0.432000907
AGMAT,0.41209927,1.145518972,1.02505857,0.325317281,0.046279972,0.16096242
PRAMEF20,1.117593772,0.223295114,0.100777242,0.309265639,1.109143319,0.178297308
OR8B4,0.022818386,0.10606149,1.147840428,0.39331731,1.063760883,0.22599466
BRDT,0.17114174,1.003053338,1.236070142,0.035388353,0.212354395,0.238841115
AGPS,0.564497444,0.376359226,0.215394732,0.019676853,1.042912592,1.035332938
OR2A42,0.28287808,1.181820251,0.313156835,0.122958243,0.052814433,1.036326337
NOSIP,1.190354584,0.131483831,0.198543743,0.348639871,1.008383045,0.233728241
CXCR2,0.077715503,0.083046484,1.085360447,0.497629068,1.062711314,0.314217953
TMEM212,0.117098986,0.226070827,0.393470661,0.067885594,1.113840845,1.096256105
AGAP2,0.230064326,0.12063074,1.076527087,0.2924945,0.244490757,1.137956926
ACD,1.145256985,0.278825274,0.066337133,1.027669979,0.449931052,0.119855897
PRAMEF12,0.511899703,1.03373293,0.067825441,0.336365401,1.103090568,0.038351227
KAT7,1.159970584,0.117732532,1.014288024,0.293909297,0.146970294,0.412929563
HNRNPDL,0.318388168,0.348902506,1.173076281,0.113256128,0.065473011,1.024861481
EIF4ENIF1,1.069099071,0.148911584,0.268838164,0.284550694,1.158728586,0.074994597
MTRNR2L3,0.028695105,1.191182399,0.281067945,0.004507134,1.072900833,0.129584139
TAC1,0.142400212,0.003754363,1.156637105,0.106498009,1.09758218,0.30419878
