,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
CTTNBP2NL,885.7118087,1332.622703,1005.011726,1012.53943,1507.773106,587.9392578
ZNF271P,844.563761,984.7550581,988.3142872,1103.549988,1249.152378,1028.642025
FLVCR1,1552.320487,624.5807121,986.5512489,1017.977347,911.0977999,1261.437852
GMPPA,1302.631837,1010.941119,1016.483211,747.2851461,990.3849529,521.4398287
UBXN2A,1042.871752,971.0802091,819.6544148,1220.695898,958.7324808,1025.35728
PIP4P1,1040.837345,735.8794343,1242.097853,1083.29891,915.1674104,949.0010073
CEP85,657.6154491,883.5608795,1109.750937,1291.444924,1055.279598,931.869352
NINL,1034.706113,50.342151,1123.13838,2294.377883,837.870722,944.0666069
DHX57,1028.46568,1003.017724,954.1050839,818.0390638,972.2122252,1216.701805
MGME1,745.9035578,909.6491349,960.4261541,1000.627197,1250.952113,1091.51546
THOC6,814.2912996,946.6728141,1000.534118,1028.571861,728.7270168,1165.195097
ZFP36,1016.984129,916.7741377,1667.97111,863.8658337,1225.037233,400.9297482
CASP8AP2,624.270559,872.2494555,1374.957075,979.4090685,1094.36108,937.0993218
RPL39,1179.513134,1426.956621,1013.988363,557.3890481,874.9306001,891.2281159
TMEM104,1430.880202,483.5656411,969.7409239,1105.342784,912.9545856,903.5793198
CCDC57,944.4112577,1296.706298,934.086961,1082.022934,843.9966287,540.79286
ANGEL1,1199.766173,936.8388911,818.8755539,585.9843408,907.7059908,1040.972779
REXO4,908.6503333,1080.389315,977.9780848,786.6481229,895.4422964,930.8321677
TET2,839.2457603,1139.644667,608.2803305,1349.850262,935.0640618,899.5790386
TOR1B,799.3455318,949.4366931,911.6673038,1149.122392,921.7708153,640.5855407
TAF4,820.0651902,869.553837,995.8033359,1192.682317,661.94682,958.5391562
DHX32,1766.995647,847.0488502,652.9259356,175.4853562,1058.223717,973.8789271
BACE1,339.9124883,1413.641654,654.611334,1063.620147,885.810098,920.6376258
PUS7L,910.0425029,896.7000358,708.7030143,882.5275762,908.6839077,1148.773635
